XCoord 35.338753, YCoord 37.538002, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -6213487.000000, YCoord 6186279.000000, XVel -6.216980, YVel 6.182449, Mass 621.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6313260.500000, YCoord 6286633.500000, XVel -6.316444, YVel 6.283005, Mass 631.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6413009.500000, YCoord 6386858.000000, XVel -6.415935, YVel 6.383532, Mass 641.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6512303.500000, YCoord 6487105.000000, XVel -6.515447, YVel 6.484036, Mass 651.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6612104.000000, YCoord 6587805.000000, XVel -6.614985, YVel 6.584517, Mass 661.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6711889.000000, YCoord 6688001.000000, XVel -6.714536, YVel 6.684977, Mass 671.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6811703.000000, YCoord 6788212.500000, XVel -6.814111, YVel 6.785416, Mass 681.000000, AccelX 0.000000, AccelY -0.000000
XCoord -6911412.000000, YCoord 6888395.500000, XVel -6.913704, YVel 6.885837, Mass 691.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7011209.000000, YCoord 6988683.500000, XVel -7.013278, YVel 6.986239, Mass 701.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7111048.000000, YCoord 7088854.500000, XVel -7.112941, YVel 7.086624, Mass 711.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7210884.500000, YCoord 7189041.500000, XVel -7.212585, YVel 7.186994, Mass 721.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7303575.000000, YCoord 7289202.500000, XVel -7.312243, YVel 7.287349, Mass 731.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7403518.000000, YCoord 7396460.000000, XVel -7.411919, YVel 7.387688, Mass 741.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7503440.500000, YCoord 7496517.500000, XVel -7.511598, YVel 7.488014, Mass 751.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7603385.500000, YCoord 7596593.500000, XVel -7.611295, YVel 7.588327, Mass 761.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7703338.500000, YCoord 7696641.000000, XVel -7.711004, YVel 7.688628, Mass 771.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7803188.000000, YCoord 7796693.500000, XVel -7.810724, YVel 7.788917, Mass 781.000000, AccelX 0.000000, AccelY -0.000000
XCoord -7903140.000000, YCoord 7896841.000000, XVel -7.910455, YVel 7.889196, Mass 791.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8003098.000000, YCoord 7996889.500000, XVel -8.010200, YVel 7.989464, Mass 801.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8103032.000000, YCoord 8096931.000000, XVel -8.109950, YVel 8.089724, Mass 811.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8202987.500000, YCoord 8196995.000000, XVel -8.209709, YVel 8.189969, Mass 821.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8302949.000000, YCoord 8297033.500000, XVel -8.309479, YVel 8.290207, Mass 831.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8402524.000000, YCoord 8397078.000000, XVel -8.409257, YVel 8.390437, Mass 841.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8502492.000000, YCoord 8497499.000000, XVel -8.509044, YVel 8.490659, Mass 851.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8602456.000000, YCoord 8597531.000000, XVel -8.608838, YVel 8.590872, Mass 861.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8702425.000000, YCoord 8697566.000000, XVel -8.708638, YVel 8.691076, Mass 871.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8802374.000000, YCoord 8797596.000000, XVel -8.808449, YVel 8.791275, Mass 881.000000, AccelX 0.000000, AccelY -0.000000
XCoord -8902345.000000, YCoord 8897647.000000, XVel -8.908265, YVel 8.891463, Mass 891.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9002312.000000, YCoord 8997676.000000, XVel -9.008090, YVel 8.991644, Mass 901.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9102285.000000, YCoord 9097708.000000, XVel -9.107923, YVel 9.091819, Mass 911.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9202170.000000, YCoord 9197734.000000, XVel -9.207764, YVel 9.191982, Mass 921.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9302145.000000, YCoord 9297760.000000, XVel -9.307612, YVel 9.292141, Mass 931.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9402121.000000, YCoord 9397872.000000, XVel -9.407472, YVel 9.392284, Mass 941.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9502093.000000, YCoord 9497896.000000, XVel -9.507341, YVel 9.492416, Mass 951.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9602070.000000, YCoord 9597919.000000, XVel -9.607235, YVel 9.592528, Mass 961.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9702048.000000, YCoord 9697946.000000, XVel -9.707163, YVel 9.692602, Mass 971.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9802027.000000, YCoord 9797962.000000, XVel -9.807188, YVel 9.792577, Mass 981.000000, AccelX 0.000000, AccelY -0.000000
XCoord -9902015.000000, YCoord 9897897.000000, XVel -9.907711, YVel 9.892035, Mass 991.000000, AccelX 0.000000, AccelY -0.000000
