XCoord 3.535547, YCoord 3.754205, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -621667.937500, YCoord 618193.437500, XVel -6.216980, YVel 6.182449, Mass 621.000000, AccelX 0.000000, AccelY -0.000000
XCoord -631657.937500, YCoord 628327.937500, XVel -6.316444, YVel 6.283005, Mass 631.000000, AccelX 0.000000, AccelY -0.000000
XCoord -641616.875000, YCoord 638339.812500, XVel -6.415935, YVel 6.383532, Mass 641.000000, AccelX 0.000000, AccelY -0.000000
XCoord -651493.875000, YCoord 648380.500000, XVel -6.515447, YVel 6.484036, Mass 651.000000, AccelX 0.000000, AccelY -0.000000
XCoord -661476.312500, YCoord 658508.687500, XVel -6.614985, YVel 6.584517, Mass 661.000000, AccelX 0.000000, AccelY -0.000000
XCoord -671437.875000, YCoord 668526.062500, XVel -6.714536, YVel 6.684977, Mass 671.000000, AccelX 0.000000, AccelY -0.000000
XCoord -681423.500000, YCoord 678563.687500, XVel -6.814111, YVel 6.785416, Mass 681.000000, AccelX 0.000000, AccelY -0.000000
XCoord -691298.625000, YCoord 688577.812500, XVel -6.913704, YVel 6.885837, Mass 691.000000, AccelX 0.000000, AccelY -0.000000
XCoord -701257.562500, YCoord 698701.875000, XVel -7.013278, YVel 6.986239, Mass 701.000000, AccelX 0.000000, AccelY -0.000000
XCoord -711253.812500, YCoord 708713.562500, XVel -7.112941, YVel 7.086624, Mass 711.000000, AccelX 0.000000, AccelY -0.000000
XCoord -721243.000000, YCoord 718745.875000, XVel -7.212585, YVel 7.186994, Mass 721.000000, AccelX 0.000000, AccelY -0.000000
XCoord -731239.812500, YCoord 728756.500000, XVel -7.312243, YVel 7.287349, Mass 731.000000, AccelX 0.000000, AccelY -0.000000
XCoord -741231.312500, YCoord 738758.375000, XVel -7.411919, YVel 7.387688, Mass 741.000000, AccelX 0.000000, AccelY -0.000000
XCoord -751200.875000, YCoord 748768.500000, XVel -7.511598, YVel 7.488014, Mass 751.000000, AccelX 0.000000, AccelY -0.000000
XCoord -761191.812500, YCoord 758798.187500, XVel -7.611295, YVel 7.588327, Mass 761.000000, AccelX 0.000000, AccelY -0.000000
XCoord -771189.312500, YCoord 768801.000000, XVel -7.711004, YVel 7.688628, Mass 771.000000, AccelX 0.000000, AccelY -0.000000
XCoord -781082.312500, YCoord 778809.812500, XVel -7.810724, YVel 7.788917, Mass 781.000000, AccelX 0.000000, AccelY -0.000000
XCoord -791076.750000, YCoord 788914.312500, XVel -7.910455, YVel 7.889196, Mass 791.000000, AccelX 0.000000, AccelY -0.000000
XCoord -801075.812500, YCoord 798921.437500, XVel -8.010200, YVel 7.989464, Mass 801.000000, AccelX 0.000000, AccelY -0.000000
XCoord -811050.062500, YCoord 808922.062500, XVel -8.109950, YVel 8.089724, Mass 811.000000, AccelX 0.000000, AccelY -0.000000
XCoord -821045.187500, YCoord 818946.437500, XVel -8.209709, YVel 8.189969, Mass 821.000000, AccelX 0.000000, AccelY -0.000000
XCoord -831045.062500, YCoord 828946.625000, XVel -8.309479, YVel 8.290207, Mass 831.000000, AccelX 0.000000, AccelY -0.000000
XCoord -840810.812500, YCoord 838952.937500, XVel -8.409257, YVel 8.390437, Mass 841.000000, AccelX 0.000000, AccelY -0.000000
XCoord -850806.125000, YCoord 849190.625000, XVel -8.509044, YVel 8.490659, Mass 851.000000, AccelX 0.000000, AccelY -0.000000
XCoord -860797.062500, YCoord 859195.312500, XVel -8.608838, YVel 8.590872, Mass 861.000000, AccelX 0.000000, AccelY -0.000000
XCoord -870792.687500, YCoord 869204.187500, XVel -8.708638, YVel 8.691076, Mass 871.000000, AccelX 0.000000, AccelY -0.000000
XCoord -880766.687500, YCoord 879208.562500, XVel -8.808449, YVel 8.791275, Mass 881.000000, AccelX 0.000000, AccelY -0.000000
XCoord -890762.750000, YCoord 889234.375000, XVel -8.908265, YVel 8.891463, Mass 891.000000, AccelX 0.000000, AccelY -0.000000
